,20,10,5,3,2,1
0,29589,29531,29763,29832,29569,29771
1,29595,29646,29687,29687,29784,29647
2,29780,29709,29659,29717,29681,29707
3,29611,29618,29742,29614,29673,29708
4,29662,29632,29665,29713,29648,29607
5,29612,29675,29848,29874,29713,29812
6,29714,29709,29796,29691,29692,29685
7,29833,29622,29725,29717,29755,29743
8,29614,29613,29693,29739,29705,29672
9,29587,29838,29710,29522,29756,29706
10,29794,29704,29692,29648,29720,29716
11,29537,29692,29717,29872,29667,29655
12,29670,29704,29691,29574,29688,29742
13,29773,29728,29703,29665,29699,29488
14,29652,29615,29719,29738,29636,29679
15,29653,29655,29660,29806,29460,29839
16,29600,29659,29719,29634,29838,29606
17,29561,29624,29588,29763,29641,29730
18,29730,29661,29657,29614,29676,29740
19,29710,29631,29760,29678,29558,29753
20,29827,29671,29840,29652,29654,29714
21,29665,29704,29620,29722,29846,29710
22,29670,29562,29736,29554,29767,29679
23,29735,29532,29723,29700,29554,29843
24,29693,29676,29713,29730,29699,29724
25,29646,29378,29766,29644,29619,29861
26,29532,29616,29850,29587,29829,29858
27,29631,29745,29625,29688,29690,29721
28,29882,29648,29740,29659,29730,29786
29,29645,29783,29705,29790,29706,29648
