,50,30,20,5
0,29634,29697,29645,29782
1,29581,29714,29646,29923
2,29614,29633,29442,29871
3,29475,29496,29628,29665
4,29530,29728,29639,29730
5,29369,29509,29692,29392
6,29643,29805,29464,29818
7,29595,29583,29738,29730
8,29672,29496,29599,29723
9,29645,29732,29822,29838
10,29624,29714,29727,29975
11,29639,29596,29648,29648
12,29646,29679,29623,29809
13,29638,29778,29653,29905
14,29533,29604,29643,30063
15,29614,29621,29638,29796
16,29645,29612,29821,29672
17,29700,29447,29570,29998
18,29552,29592,29676,29849
19,29634,29758,29685,29917
20,29645,29730,29662,29674
21,29667,29581,29663,29801
22,29617,29687,29665,29693
23,29634,29479,29658,29841
24,29618,29653,29816,29925
25,29506,29706,29825,29700
26,29575,29648,29784,29503
27,29605,29634,29527,29989
28,29596,29584,29522,29888
29,29627,29690,29681,29951
